Alert_ID,AlertInformation
a0001,Free iCloud&Apple music
a0002,Lotus Lucky Bag
a0003,7/11 Up to 50%
a0004,Cash back 1% at All cafe
a0005,(New User)Cash back 20B at McDonald
a0006,Shoppee Midmonth Sale
a0007,(New User) Cash back 10B at DairyQueen
a0008,"Hot offer, coupon 40% discount"
a0009,Chester's Delivery cash back 15B
a0010,"Food Panda, flash sale"
a0011,"7Delivery, 80B discount coupon"
a0012,Get Makro Double point 
a0013,HBO Go
a0014,PUBG Top Up at Codashop
a0015,Mikka Cafe
a0016,LAZADA PAYDAY
a0017,Flash Coffee
a0018,True point and pay
a0019,Alipay+ rewards
a0020,True Smart Merchant
a0021,10.10 Crazy Flash 
a0022,Philips x Biotherm Flash sales
a0023, 9.9 Mega brand sale
a0024,LazMall 9.9
a0025,LAZADA PAYDAY
a0026,9.9 Super Shopping Day
a0027,Anello Lockdown sale
a0028,Brand Fair
a0029,Lotus Lucky Bag
a0030,Free iCloud&Apple music
a0031,"Food Panda, flash sale"
a0032,Mikka Cafe
a0033,HBO Go
a0034,Get Makro Double point 
a0035,PUBG Top Up at Codashop
a0036,True point and pay
a0037,"Hot offer, coupon 40% discount"
a0038,Cash back 1% at All cafe
a0039,"Food Panda, flash sale"
a0040,(New User) Cash back 50B at DairyQueen
a0041,Anello Lockdown sale
a0042,Cash back 1% at Merchant shop
a0043,Get Makro Double point 
a0044,HBO Go Coupon free for 40 baht
a0045,Anello Lockdown sale
a0046,7/11 Up to 50%
a0047,"Hot offer, coupon 20% discount"
a0048,Get Makro Double point 
a0049,"7Delivery, 60B discount coupon"
a0050,LAZADA PAYDAY
a0051,Alimet Lockdown sale
a0052,Brand Fair
a0053,Chester's Delivery cash back 40B
a0054,(New User) Cash back 20B at DairyQueen
a0055,"Line man, flash sale"
a0056,"7Delivery, 20B discount coupon"
a0057,Free iCloud&Apple music 1 month
a0058,Game Top Up at Codashop
a0059,Top Up at Codashop
a0060,True Smart Merchant
a0061,"Grab, flash sale"
a0062,Get Makro Double point 
a0063,Mikka Cafe
a0064,"Robinhood, flash sale"
a0065,Alipay+ rewards
a0066,Cafe Amazon free 1 coffee
a0067,Get Makro Double point 
a0068,Gucci Lockdown sale
a0069,Free iCloud&Apple music 2 month
a0070,Shopper PAYDAY
a0071,"Hot offer, coupon 10% discount"
a0072,Get Makro Double point 
a0073,Cash back 10% at All cafe
a0074,7/11 Up to 20%
a0075,Get Makro Triple point 
a0076,7/11 Up to 10%
a0077,Arrow Lockdown sale
a0078,True Smart Merchant
a0079,Cash back 10% at All cafe
a0080,7/11 Up to 20%
